Symbol,Nifty 50,Nifty Next 50,Nifty 500,Nifty 750,Nifty Midcap 150,Nifty smallcap 250
360ONE,ADANIENT,ABB,360ONE,360ONE,360ONE,ACMESOLAR
3MINDIA,ADANIPORTS,ADANIENSOL,3MINDIA,3MINDIA,3MINDIA,AADHARHFC
ABB,APOLLOHOSP,ADANIGREEN,ABB,ABB,ACC,AARTIIND
ACC,ASIANPAINT,ADANIPOWER,ACC,ACC,AIAENG,AAVAS
AIAENG,AXISBANK,AMBUJACEM,ACMESOLAR,ACMESOLAR,APLAPOLLO,ACE
APLAPOLLO,BAJAJ-AUTO,DMART,AIAENG,AGI,AUBANK,ABREL
AUBANK,BAJFINANCE,BAJAJHLDNG,APLAPOLLO,AIAENG,AWL,ABSLAMC
AADHARHFC,BAJAJFINSV,BAJAJHFL,AUBANK,APLAPOLLO,ABBOTINDIA,AEGISLOG
AARTIIND,BEL,BANKBARODA,AWL,ASKAUTOLTD,ATGL,AFCONS
AAVAS,BHARTIARTL,BPCL,AADHARHFC,AUBANK,ABCAPITAL,AFFLE
ABBOTINDIA,CIPLA,BOSCHLTD,AARTIIND,AWL,ABFRL,AKUMS
ACE,COALINDIA,BRITANNIA,AAVAS,AADHARHFC,AJANTPHARM,APLLTD
ADANIENSOL,DRREDDY,CGPOWER,ABBOTINDIA,AARTIDRUGS,ALKEM,ALIVUS
ADANIENT,EICHERMOT,CANBK,ACE,AARTIIND,APARINDS,ALKYLAMINE
ADANIGREEN,ETERNAL,CHOLAFIN,ADANIENSOL,AARTIPHARM,APOLLOTYRE,ALOKINDS
ADANIPORTS,GRASIM,DLF,ADANIENT,AAVAS,ASHOKLEY,ARE&M
ADANIPOWER,HCLTECH,DABUR,ADANIGREEN,ABBOTINDIA,ASTRAL,AMBER
ATGL,HDFCBANK,DIVISLAB,ADANIPORTS,ACE,AUROPHARMA,ANANDRATHI
AWL,HDFCLIFE,GAIL,ADANIPOWER,ACUTAAS,BSE,ANANTRAJ
ABCAPITAL,HEROMOTOCO,GODREJCP,ATGL,ADANIENSOL,BALKRISIND,ANGELONE
ABFRL,HINDALCO,HAVELLS,ABCAPITAL,ADANIENT,BANDHANBNK,APTUS
ABREL,HINDUNILVR,HAL,ABFRL,ADANIGREEN,BANKINDIA,ASAHIINDIA
ABSLAMC,ICICIBANK,HYUNDAI,ABREL,ADANIPORTS,MAHABANK,ASTERDM
AEGISLOG,ITC,ICICIGI,ABSLAMC,ADANIPOWER,BERGEPAINT,ASTRAZEN
AFFLE,INDUSINDBK,ICICIPRULI,AEGISLOG,ATGL,BDL,ATUL
AJANTPHARM,INFY,INDHOTEL,AFCONS,ABCAPITAL,BHARATFORG,AIIL
AKUMS,JSWSTEEL,IOC,AFFLE,ABFRL,BHEL,BASF
APLLTD,JIOFIN,IRFC,AJANTPHARM,ABREL,BHARTIHEXA,BEML
ALKEM,KOTAKBANK,NAUKRI,AKUMS,ABSLAMC,BIOCON,BLS
ALKYLAMINE,LT,INDIGO,APLLTD,AVL,BLUESTARCO,BALRAMCHIN
ALOKINDS,M&M,JSWENERGY,ALIVUS,ADVENZYMES,CRISIL,BATAINDIA
ARE&M,MARUTI,JINDALSTEL,ALKEM,AEGISLOG,COCHINSHIP,BAYERCROP
AMBER,NTPC,LTIM,ALKYLAMINE,AETHER,COFORGE,BIKAJI
AMBUJACEM,NESTLEIND,LICI,ALOKINDS,AFCONS,COLPAL,BSOFT
ANANDRATHI,ONGC,LODHA,ARE&M,AFFLE,CONCOR,BLUEDART
ANANTRAJ,POWERGRID,PIDILITIND,AMBER,AHLUCONT,COROMANDEL,BBTC
ANGELONE,RELIANCE,PFC,AMBUJACEM,AJANTPHARM,CUMMINSIND,FIRSTCRY
APARINDS,SBILIFE,PNB,ANANDRATHI,AKUMS,DALBHARAT,BRIGADE
APOLLOHOSP,SHRIRAMFIN,RECLTD,ANANTRAJ,AKZOINDIA,DEEPAKNTR,MAPMYINDIA
APOLLOTYRE,SBIN,MOTHERSON,ANGELONE,APLLTD,DIXON,CCL
APTUS,SUNPHARMA,SHREECEM,APARINDS,ALIVUS,EMAMILTD,CESC
ACI,TCS,SIEMENS,APOLLOHOSP,ALKEM,ENDURANCE,CAMPUS
ASAHIINDIA,TATACONSUM,SWIGGY,APOLLOTYRE,ALKYLAMINE,ESCORTS,CANFINHOME
ASHOKLEY,TATAMOTORS,TVSMOTOR,APTUS,ALLCARGO,EXIDEIND,CAPLIPOINT
ASIANPAINT,TATASTEEL,TATAPOWER,ASAHIINDIA,ABDL,NYKAA,CGCL
ASTERDM,TECHM,TORNTPHARM,ASHOKLEY,ALOKINDS,FEDERALBNK,CARBORUNIV
ASTRAZEN,TITAN,UNITDSPR,ASIANPAINT,ARE&M,FORTIS,CASTROLIND
ASTRAL,TRENT,VBL,ASTERDM,AMBER,GVT&D,CEATLTD
ATUL,ULTRACEMCO,VEDL,ASTRAZEN,AMBUJACEM,GMRAIRPORT,CENTRALBK
AUROPHARMA,WIPRO,ZYDUSLIFE,ASTRAL,ANANDRATHI,GICRE,CDSL
AVANTIFEED,,,ATUL,ANANTRAJ,GLAND,CENTURYPLY
DMART,,,AUROPHARMA,ANGELONE,GLAXO,CERA
AXISBANK,,,AIIL,APARINDS,GLENMARK,CHALET
BASF,,,DMART,PARKHOTELS,MEDANTA,CHAMBLFERT
BEML,,,AXISBANK,APOLLOHOSP,GODREJIND,CHENNPETRO
BLS,,,BASF,APOLLOTYRE,GODREJPROP,CHOLAHLDNG
BSE,,,BEML,APTUS,FLUOROCHEM,CUB
BAJAJ-AUTO,,,BLS,ACI,GUJGASLTD,CLEAN
BAJFINANCE,,,BSE,ARVINDFASN,HDFCAMC,COHANCE
BAJAJFINSV,,,BAJAJ-AUTO,ARVIND,HINDPETRO,CAMS
BAJAJHLDNG,,,BAJFINANCE,ASAHIINDIA,HINDZINC,CONCORDBIO
BALAMINES,,,BAJAJFINSV,ASHOKLEY,POWERINDIA,CRAFTSMAN
BALKRISIND,,,BAJAJHLDNG,ASHOKA,HONAUT,CREDITACC
BALRAMCHIN,,,BAJAJHFL,ASIANPAINT,HUDCO,CROMPTON
BANDHANBNK,,,BALKRISIND,ASTERDM,IDFCFIRSTB,CYIENT
BANKBARODA,,,BALRAMCHIN,ASTRAMICRO,IRB,DCMSHRIRAM
BANKINDIA,,,BANDHANBNK,ASTRAZEN,INDIANB,DOMS
MAHABANK,,,BANKBARODA,ASTRAL,IRCTC,DATAPATTNS
BATAINDIA,,,BANKINDIA,ATUL,IREDA,DEEPAKFERT
BAYERCROP,,,MAHABANK,AURIONPRO,IGL,DELHIVERY
BERGEPAINT,,,BATAINDIA,AUROPHARMA,INDUSTOWER,DEVYANI
BDL,,,BAYERCROP,AIIL,IPCALAB,LALPATHLAB
BEL,,,BERGEPAINT,AVALON,JKCEMENT,DUMMYDBRLT
BHARATFORG,,,BDL,AVANTIFEED,JSWINFRA,EIDPARRY
BHEL,,,BEL,DMART,JSL,EIHOTEL
BPCL,,,BHARATFORG,AWFIS,JUBLFOOD,ELECON
BHARTIARTL,,,BHEL,AXISBANK,KPRMILL,ELGIEQUIP
BHARTIHEXA,,,BPCL,AZAD,KEI,EMCURE
BIKAJI,,,BHARTIARTL,BASF,KPITTECH,ENGINERSIN
BIOCON,,,BHARTIHEXA,BEML,KALYANKJIL,ERIS
BIRLACORPN,,,BIKAJI,BLS,LTF,FACT
BSOFT,,,BIOCON,BSE,LTTS,FINCABLES
BLUEDART,,,BSOFT,BAJAJ-AUTO,LICHSGFIN,FINPIPE
BLUESTARCO,,,BLUEDART,BAJFINANCE,LINDEINDIA,FSL
BBTC,,,BLUESTARCO,BAJAJFINSV,LLOYDSME,FIVESTAR
BOSCHLTD,,,BBTC,BAJAJHIND,LUPIN,GRSE
BRIGADE,,,BOSCHLTD,BAJAJHLDNG,MRF,GILLETTE
BRITANNIA,,,FIRSTCRY,BAJAJHFL,M&MFIN,GODIGIT
MAPMYINDIA,,,BRIGADE,BALAMINES,MRPL,GPIL
CCL,,,BRITANNIA,BALKRISIND,MANKIND,GODFRYPHLP
CESC,,,MAPMYINDIA,BALRAMCHIN,MARICO,GODREJAGRO
CGPOWER,,,CCL,BALUFORGE,MFSL,GRANULES
CIEINDIA,,,CESC,BANCOINDIA,MAXHEALTH,GRAPHITE
CRISIL,,,CGPOWER,BANDHANBNK,MAZDOCK,GRAVITA
CAMPUS,,,CRISIL,BANKBARODA,MSUMI,GESHIP
CANFINHOME,,,CAMPUS,BANKINDIA,MOTILALOFS,GMDCLTD
CANBK,,,CANFINHOME,MAHABANK,MPHASIS,GNFC
CAPLIPOINT,,,CANBK,BANSALWIRE,MUTHOOTFIN,GPPL
CGCL,,,CAPLIPOINT,BATAINDIA,NHPC,GSPL
CARBORUNIV,,,CGCL,BAYERCROP,NLCINDIA,HEG
CASTROLIND,,,CARBORUNIV,BERGEPAINT,NMDC,HBLENGINE
CEATLTD,,,CASTROLIND,BEPL,NTPCGREEN,HFCL
CELLO,,,CEATLTD,BBL,NATIONALUM,HAPPSTMNDS
CENTRALBK,,,CENTRALBK,BDL,NAM-INDIA,HSCL
CDSL,,,CDSL,BEL,OBEROIRLTY,HINDCOPPER
CENTURYPLY,,,CENTURYPLY,BHARATFORG,OIL,HOMEFIRST
CERA,,,CERA,BHEL,OLAELEC,HONASA
CHALET,,,CHALET,BPCL,PAYTM,IDBI
CHAMBLFERT,,,CHAMBLFERT,BHARTIARTL,OFSS,IFCI
